,2060,2100
Current Conditions,"13,298 (6,246 - 22,527)","13,313 (6,233 - 22,726)"
RCP4.5 - Lead 2008,"10,777 (2,482 - 21,436)","8,562 (434 - 20,352)"
RCP4.5 - Lead 2026,"10,669 (2,181 - 22,107)","8,933 (423 - 21,562)"
RCP4.5 - Lead Constant,"7,253 (1,122 - 16,203)","4,751 (60 - 14,860)"
RCP8.5 - Lead 2008,"10,156 (2,333 - 21,114)","6,921 (220 - 19,787)"
RCP8.5 - Lead 2026,"9,895 (1,812 - 21,141)","7,172 (160 - 20,422)"
RCP8.5 - Lead Constant,"6,474 (711 - 15,736)","3,263 (10 - 14,362)"
